Date,SPY,EFA,EEM,TLT
20030414,59.1776,17.4625,7.4114,42.1117
20030415,59.7298,17.702,7.4994,42.3391
20030416,58.7119,17.585,7.586,42.5134
20030417,59.5834,17.839,7.6403,42.5811
20030421,59.6433,17.7769,7.6374,42.4892
20030422,60.7676,18.0346,7.6631,42.465
20030423,61.3265,18.1936,7.699,42.552
20030424,60.781,18.0511,7.5471,42.9344
20030425,60.0292,17.7312,7.4224,43.0312
20030428,61.067,18.0456,7.5449,42.9634
20030429,61.2799,18.1498,7.7599,42.8908
20030430,61.1469,18.243,7.7379,43.2877
20030501,61.1402,18.3179,7.7078,43.3086
20030502,62.0117,18.4769,7.826,42.968
20030505,61.892,18.6177,7.9104,43.1966
20030506,62.4774,19.0106,7.9507,43.4107
20030507,62.1315,18.8352,7.936,43.9167
20030508,61.5061,18.5519,7.8663,44.0237
20030509,62.3577,18.7858,7.9588,44.0675
20030512,63.1228,18.9357,8.0696,44.3448
20030513,63.0097,18.9339,8.0241,44.4421
20030514,62.8766,18.9394,7.9837,45.1232
20030515,63.2758,18.9723,7.9999,45.2643
20030516,63.1161,19.2062,8.0058,45.5951
20030519,61.6392,18.6871,7.815,45.4395
20030520,61.5128,18.8736,7.8539,46.1108
20030521,61.6392,18.678,7.8605,46.106
20030522,62.2513,18.9284,7.9316,46.5146
20030523,62.3776,19.0362,8.0131,46.6314
20030527,63.4687,19.2007,8.3,45.7897
20030528,63.6483,19.2921,8.336,45.7119
20030529,63.482,19.3835,8.347,46.1108
20030530,64.4999,19.4201,8.4438,46.0233
20030602,64.766,19.601,8.5047,45.6851
20030603,65.0321,19.6485,8.4402,46.0516
20030604,65.9702,19.7673,8.5488,46.1884
20030605,66.2962,19.9666,8.5576,45.8269
20030606,66.0368,20.0872,8.6376,45.993
20030609,65.3648,19.9428,8.5634,46.3008
20030610,66.0301,20.1036,8.6515,46.8528
20030611,66.7286,20.4345,8.6588,46.7942
20030612,66.9349,20.4893,8.7241,47.1606
20030613,66.2363,20.3705,8.7212,47.4782
20030616,67.6334,20.6684,8.8151,47.0287
20030617,67.6334,20.7105,8.9964,46.6574
20030618,67.5736,20.652,8.9634,46.0614
20030619,66.5424,20.4071,8.9634,45.9734
20030620,66.3955,20.4345,8.9634,45.8025
20030623,65.7144,20.2078,8.7432,46.076
20030624,65.7812,20.0488,8.6786,46.5011
20030625,65.1202,19.8496,8.7506,45.7585
20030626,65.9681,19.941,8.8452,45.1429
20030627,65.207,19.7911,8.8041,44.9817
20030630,65.1869,19.7966,8.7983,45.1917
20030701,65.7878,19.9136,8.8936,44.9676
20030702,66.6158,20.3065,9.1028,45.0804
20030703,65.9281,20.1969,9.1285,44.4331
20030707,67.2367,20.5679,9.3545,44.1486
20030708,67.5372,20.471,9.3809,44.1878
20030709,67.1566,20.365,9.3589,44.33
20030710,66.302,20.2608,9.1945,44.3153
20030711,66.9296,20.217,9.2716,44.5262
20030714,67.2568,20.4345,9.4345,44.0162
20030715,67.1099,20.2426,9.3156,42.9863
20030716,66.716,20.0909,9.3229,43.2315
20030717,65.7678,19.7765,9.0793,43.0991
20030718,66.4423,20.0872,9.2004,43.0108
20030721,65.6209,19.9337,9.0786,42.0986
20030722,66.2152,19.8862,9.1872,42.3045
20030723,66.2619,20.1804,9.1285,42.4468
20030724,65.7611,20.2133,9.1725,42.0741
20030725,66.9229,20.4674,9.3229,41.9613
20030728,66.6759,20.5204,9.3743,41.3972
20030729,66.3688,20.4345,9.3215,40.8333
20030730,66.2085,20.2645,9.2532,41.2943
20030731,66.3621,20.0963,9.2972,40.6813
20030801,65.7745,20.0927,9.3178,40.6507
20030804,65.7745,20.1512,9.2767,41.0005
20030805,64.379,19.9629,9.1769,40.4142
20030806,64.7529,19.9318,9.1358,41.2123
20030807,65.434,20.0506,9.2026,41.3848
20030808,65.6209,20.1128,9.2642,41.2173
20030811,65.868,20.3065,9.3046,41.0103
20030812,66.4689,20.3924,9.3413,40.8182
20030813,66.1284,20.4071,9.4733,40.0299
20030814,66.3087,20.6977,9.5981,40.424
20030815,66.5157,20.6502,9.5027,40.3994
20030818,67.0899,20.9371,9.7052,40.5866
20030819,67.3436,20.8914,9.7529,41.2123
20030820,67.0698,20.853,9.7544,40.9907
20030821,67.2835,20.8914,9.9334,40.8921
20030822,66.6158,20.7708,9.9841,41.0744
20030825,66.7226,20.6867,9.9063,40.7541
20030826,66.8428,20.5789,9.7852,41.0744
20030827,66.8628,20.6154,9.899,40.8872
20030828,67.2768,20.7361,9.9679,41.3109
20030829,67.7309,20.758,10.0398,41.2123
20030902,68.6389,21.0724,10.1888,40.6096
20030903,69.0128,21.3484,10.2695,40.6739
20030904,69.0462,21.3228,10.3062,40.9016
20030905,68.659,21.3648,10.2967,41.6043
20030908,69.2265,21.4599,10.4919,41.1738
20030909,68.7725,21.5019,10.3099,41.4707
20030910,68.078,21.2844,10.1382,41.8913
20030911,68.2784,21.4032,10.1264,41.6191
20030912,68.4052,21.4946,10.1983,41.9062
20030915,68.1648,21.5567,10.0479,41.8418
20030916,69.1597,21.7706,10.2548,41.7775
20030917,69.0262,21.9131,10.2108,42.2971
20030918,69.8408,22.1434,10.3282,42.3268
20030919,69.4855,22.0612,10.2805,42.3763
20030922,68.7348,21.8126,10.1125,42.0398
20030923,68.9963,21.862,10.1374,42.3268
20030924,67.7697,21.756,10.1558,42.693
20030925,67.2134,21.4763,10.0054,42.9058
20030926,66.9921,21.3849,9.9356,43.2918
20030929,67.649,21.6591,10.0061,42.9454
20030930,66.9921,21.3849,9.9745,43.658
20031001,68.4198,22.0868,10.2365,43.4925
20031002,68.6678,22.0521,10.3833,43.2938
20031003,69.2978,22.3738,10.486,42.3844
20031006,69.6129,22.6077,10.5264,42.5682
20031007,69.881,22.573,10.5153,42.0762
20031008,69.7067,22.4798,10.5939,42.0663
20031009,69.8944,22.6351,10.7722,41.7682
20031010,70.0888,22.7302,10.9043,42.0166
20031013,70.31,22.955,11.0694,41.8526
20031014,70.5579,23.0756,10.858,41.5644
20031015,70.3703,22.8563,10.9894,41.3606
20031016,70.6518,22.9934,10.9864,41.1966
20031017,69.881,22.8746,10.9197,41.5147
20031020,70.4038,23.1195,10.9806,41.6539
20031021,70.2831,23.0409,11.0356,41.8079
20031022,69.3984,22.8161,10.8734,42.2154
20031023,69.2711,22.5273,10.7135,41.9073
20031024,69.4252,22.5711,10.657,42.3744
20031027,69.4587,22.6717,10.7795,42.2899
20031028,70.4038,22.9385,10.927,42.5136
20031029,70.4976,22.9111,11.018,42.1309
20031030,70.6451,22.9367,10.9784,41.9421
20031031,70.5781,22.774,10.8903,42.3346
20031103,71.0405,22.8892,11.1501,42.134
20031104,70.8864,23.0153,11.1809,42.3736
20031105,70.94,22.8837,11.1956,42.0842
20031106,71.3153,22.6826,11.1156,41.6899
20031107,70.7859,22.8928,11.1273,41.6651
20031110,70.4976,22.7027,10.974,41.6301
20031111,70.4775,22.6168,10.8331,41.6351
20031112,71.2684,23.0884,11.0261,41.9395
20031113,71.2885,23.22,11.1112,42.5881
20031114,70.6853,23.0628,11.0547,42.8726
20031117,70.3301,22.6662,10.839,42.9374
20031118,69.5995,22.7558,10.8602,43.2019
20031119,70.1893,22.8106,10.7898,42.7229
20031120,69.5593,22.6644,10.6504,43.137
20031121,69.8475,22.9093,10.7428,43.162
20031124,70.7724,23.0811,10.8595,42.8077
20031125,71.0405,23.1177,10.8969,43.0422
20031126,71.2952,23.3132,10.9967,42.8676
20031128,71.3489,23.3498,11.095,42.4784
20031201,72.1196,23.8122,11.4128,42.2417
20031202,71.9387,23.8689,11.3621,42.4222
20031203,71.8247,23.9164,11.3225,42.2518
20031204,72.1196,23.9712,11.2447,42.347
20031205,71.617,23.7994,11.2235,43.0239
20031208,72.0995,23.9986,11.2455,42.723
20031209,71.5432,23.8981,11.1985,42.4222
20031210,71.5365,23.7263,11.1537,42.4924
20031211,72.3408,23.9895,11.357,42.7983
20031212,72.4816,24.0681,11.4091,42.8785
20031215,72.1196,23.9072,11.4179,42.8534
20031216,72.495,24.2136,11.3702,42.9939
20031217,72.7229,24.1567,11.2381,43.2847
20031218,73.5406,24.5163,11.4194,43.6758
20031219,73.3359,24.3787,11.4473,43.6608
20031222,73.8477,24.5398,11.6089,43.5404
20031223,73.8948,24.5918,11.6406,43.049
20031224,73.8207,24.6512,11.6782,43.4552
20031226,73.8746,24.6066,11.7077,43.6156
20031229,74.8578,25.0206,11.8846,43.2245
20031230,74.8713,25.0688,11.9413,43.049
20031231,74.9386,25.39,12.0919,43.049
20040102,74.9049,25.4587,12.3611,42.5401
20040105,75.7198,25.9487,12.7948,42.4294
20040106,75.7938,25.9877,12.6503,42.8979
20040107,76.0497,25.7278,12.6798,43.0692
20040108,76.3528,26.0972,12.7277,43.054
20040109,75.6861,25.932,12.7048,43.8047
20040112,76.2451,25.9246,12.6938,43.7695
20040113,75.8006,25.7742,12.6215,44.0667
20040114,76.4336,25.997,12.6414,44.2833
20040115,76.6222,25.8392,12.3832,44.4496
20040116,76.9252,25.7464,12.4364,44.1372
20040120,76.905,26.0248,12.7978,44.1271
20040121,77.5111,26.3404,12.8148,44.2329
20040122,77.3091,26.3571,12.7823,44.5554
20040123,77.0599,26.0749,12.7609,44.0213
20040126,78.0296,26.1585,12.8457,43.7543
20040127,77.2283,26.0434,12.7808,44.0264
20040128,76.3461,25.7093,12.6001,43.6385
20040129,76.4202,25.7427,12.4017,43.5478
20040130,76.4202,25.6758,12.3847,43.85
20040202,76.7501,25.6164,12.3877,43.758
20040203,76.6222,25.6628,12.3183,43.9806
20040204,75.9959,25.3844,12.2077,43.8946
20040205,76.2181,25.4902,12.204,43.7226
20040206,77.0734,25.971,12.4821,44.2032
20040209,77.0936,26.1343,12.6621,44.3347
20040210,77.3428,26.2476,12.651,44.0868
20040211,78.1643,26.5446,12.8472,44.4156
20040212,77.8815,26.3125,12.8406,44.2284
20040213,77.5313,26.2791,12.8494,44.4156
20040217,78.2316,26.7859,13.1076,44.3852
20040218,77.8882,26.4146,12.9291,44.446
20040219,77.5986,26.591,12.8162,44.4915
20040220,77.3629,26.2661,12.6724,44.1829
20040223,77.1677,26.3404,12.5617,44.4561
20040224,77.033,26.2383,12.4954,44.537
20040225,77.3562,26.0434,12.6318,44.6078
20040226,77.4034,26.0527,12.6945,44.4662
20040227,77.4572,26.2661,12.8745,44.8507
20040301,78.2249,26.6188,13.1681,44.8334
20040302,77.767,26.1919,13.0633,44.549
20040303,77.9084,26.1362,12.9822,44.4677
20040304,78.1104,26.2197,13.0707,44.6658
20040305,78.373,26.526,13.1187,45.5292
20040308,77.4168,26.3552,12.9933,45.7984
20040309,77.1071,26.1733,12.9084,46.1031
20040310,75.8141,25.7538,12.6134,46.0727
20040311,74.8309,25.3361,12.3405,46.1387
20040312,75.8141,25.5589,12.4437,45.8543
20040315,74.8847,25.1245,12.2114,45.9305
20040316,75.2821,25.3566,12.3626,46.3114
20040317,76.1238,25.8856,12.5322,46.2352
20040318,76.1441,25.8763,12.606,45.9915
20040319,75.0526,25.5422,12.44,45.9305
20040322,74.0998,25.2099,12.2409,46.2098
20040323,73.9714,25.403,12.3641,46.2911
20040324,74.0322,25.3027,12.3737,46.2657
20040325,75.0121,25.7835,12.4946,46.0879
20040326,75.0324,25.6721,12.4718,45.6003
20040329,76.0866,26.0434,12.6318,45.2956
20040330,76.3434,26.0991,12.7867,45.2651
20040331,76.4312,26.2847,12.9453,45.4835
20040401,76.8908,26.6337,13.0508,45.3346
20040402,77.472,26.7098,13.1814,44.2129
20040405,77.8977,26.7098,13.2736,43.8661
20040406,77.6477,26.6281,13.3473,44.1058
20040407,77.4652,26.6689,13.2994,44.0038
20040408,77.2895,26.6133,13.3104,43.8763
20040412,77.5936,26.7859,13.413,43.7183
20040413,76.5056,26.4425,13.2566,43.244
20040414,76.6272,26.1696,13.0611,43.2084
20040415,76.3366,25.9877,12.9527,42.9534
20040416,76.9246,26.2661,13.0486,43.1166
20040419,76.9246,26.294,13.0707,43.0248
20040420,75.6338,25.932,12.9564,42.6322
20040421,76.1406,26.1083,12.8605,42.8413
20040422,77.2084,26.294,12.8568,43.0962
20040423,77.2827,26.2568,12.9527,42.8515
20040426,77.1746,26.2494,12.7683,42.9228
20040427,77.2422,26.2754,12.7004,43.086
20040428,76.2421,25.7909,12.3368,42.6832
20040429,75.573,25.5143,11.9303,42.4742
20040430,74.9851,25.3937,11.6766,42.6475
20040503,75.7893,25.6536,11.7939,42.7012
20040504,75.7284,25.9803,12.0248,42.4095
20040505,76.215,26.2661,12.0543,42.2918
20040506,75.5595,25.7093,11.8042,42.1791
20040507,74.3093,25.0132,11.5387,41.6263
20040510,73.5456,24.3727,10.9818,41.529
20040511,74.1674,24.5491,11.3078,41.7184
20040512,74.6404,24.7069,11.3115,41.442
20040513,74.3296,24.447,11.282,41.2833
20040514,74.3633,24.4266,10.9847,41.6212
20040517,73.7281,24.1593,10.5451,41.9897
20040518,74.0998,24.4154,10.8586,41.8259
20040519,73.843,24.6568,11.1588,41.6877
20040520,74.0795,24.6883,11.0902,42.0102
20040521,74.2079,24.8702,11.2724,41.8413
20040524,74.5188,25.0299,11.4479,41.9744
20040525,75.5865,25.403,11.7002,42.0972
20040526,75.8501,25.3566,11.6545,42.3224
20040527,76.2758,25.8392,11.8389,42.6552
20040528,76.2691,25.6833,11.8131,42.5374
20040601,76.1677,25.7445,11.7312,42.1479
20040602,76.4515,25.8188,11.7312,42.04
20040603,75.7487,25.57,11.4708,42.1273
20040604,76.3501,25.8763,11.6397,41.8807
20040607,77.5125,26.448,12.0417,41.891
20040608,77.6206,26.2995,11.8743,41.968
20040609,76.8975,25.8485,11.6058,41.7882
20040610,77.276,26.1548,11.6191,41.8704
20040614,76.5124,25.5255,11.1713,41.5364
20040615,77.053,25.9784,11.3874,42.4151
20040616,77.0395,25.9691,11.2348,42.2507
20040617,76.9246,26.1362,11.2908,42.5282
20040618,77.0697,26.1826,11.2266,42.4357
20040621,76.7781,26.0898,11.2783,42.4665
20040622,77.1647,26.1009,11.3978,42.338
20040623,77.8294,26.2661,11.6006,42.4203
20040624,77.5852,26.3682,11.6471,42.6772
20040625,77.2122,26.2717,11.7651,42.7183
20040628,76.9476,26.4332,11.6648,42.2815
20040629,77.2664,26.3775,11.7541,42.5487
20040630,77.6801,26.5446,11.9222,42.9856
20040701,76.6017,26.2104,11.7732,43.066
20040702,76.561,26.3571,11.7725,43.52
20040706,75.8896,25.9227,11.6464,43.4478
20040707,76.1134,26.229,11.7983,43.4633
20040708,75.5844,26.0619,11.6301,43.4891
20040709,75.781,26.2828,11.6921,43.5355
20040712,75.815,26.3589,11.6618,43.5974
20040713,75.8692,26.229,11.715,43.4685
20040714,75.6386,26.0805,11.6028,43.484
20040715,75.1503,25.7557,11.5424,43.5304
20040716,75.0892,25.9636,11.6692,44.1082
20040719,74.7705,25.984,11.6515,44.1392
20040720,75.72,25.997,11.7009,43.7419
20040721,74.3228,25.4327,11.566,43.6232
20040722,74.5263,25.57,11.566,43.6852
20040723,73.9023,25.0985,11.3668,43.8297
20040726,73.7598,25.0985,11.2613,43.6232
20040727,74.4517,25.2545,11.476,43.035
20040728,74.6755,25.2879,11.4723,43.0402
20040729,74.9943,25.3194,11.5438,43.1382
20040730,75.1774,25.4122,11.4885,43.6439
20040802,75.3334,25.5329,11.431,43.7009
20040803,74.7501,25.3658,11.4442,43.877
20040804,74.7433,25.3621,11.4553,43.8977
20040805,73.5225,24.9853,11.3815,44.022
20040806,72.4712,24.9482,11.2989,44.7627
20040809,72.5729,24.9203,11.3933,44.6073
20040810,73.5089,25.1245,11.5217,44.4467
20040811,73.3597,25.041,11.4147,44.6384
20040812,72.5593,24.7626,11.2871,44.7316
20040813,72.7018,24.9111,11.3048,44.8767
20040816,73.4547,25.1617,11.459,44.7213
20040817,73.8684,25.1802,11.5357,44.9751
20040818,74.628,25.3714,11.6722,44.7575
20040819,74.411,25.312,11.6847,44.8663
20040820,74.9333,25.4308,11.743,44.8248
20040823,74.7433,25.2248,11.8064,44.5659
20040824,74.8451,25.2192,11.7725,44.5918
20040825,75.3537,25.4865,11.9126,44.7471
20040826,75.3537,25.5051,11.9289,45.0009
20040827,75.5911,25.57,11.9067,44.9699
20040830,74.9671,25.4772,11.8426,45.1822
20040831,75.3606,25.7148,11.8942,45.4619
20040901,75.503,25.7371,11.9923,45.5087
20040902,76.3576,26.0063,12.1413,45.0615
20040903,76.0456,25.661,12.0122,45.0667
20040907,76.5475,26.0192,12.1044,45.0199
20040908,76.3576,26.0063,12.097,45.3995
20040909,76.2898,25.9227,12.1339,45.2279
20040910,76.6831,26.1176,12.249,45.2955
20040913,76.9341,26.2104,12.3611,45.4932
20040914,77.0901,26.2754,12.3567,45.54
20040915,76.5068,25.8986,12.3021,45.4359
20040916,76.7374,26.0694,12.4563,45.9508
20040917,77.0636,26.1548,12.5396,45.7219
20040920,76.6005,25.9914,12.5522,46.0236
20040921,76.9342,26.3979,12.6835,46.1588
20040922,75.9739,25.9691,12.4917,46.6373
20040923,75.5652,25.8986,12.547,46.45
20040924,75.9126,25.932,12.5116,46.5072
20040927,75.429,25.8021,12.4371,46.71
20040928,75.79,26.0545,12.5913,46.5228
20040929,76.1714,26.1548,12.6576,46.0704
20040930,76.1169,26.2476,12.724,45.8936
20041001,77.4042,26.6559,12.9674,45.6644
20041004,77.5336,26.6968,13.1887,45.7322
20041005,77.5744,26.7116,13.0914,45.7322
20041006,78.1056,26.8119,13.2426,45.5233
20041007,77.2679,26.6281,13.1297,45.3249
20041008,76.6277,26.8137,13.0338,45.9254
20041011,76.941,26.8787,13.1017,45.9724
20041012,76.6413,26.5724,12.8952,46.0769
20041013,75.9671,26.3868,12.7203,46.244
20041014,75.3541,26.2476,12.547,46.4632
20041015,75.7764,26.5464,12.7144,46.3014
20041018,76.0624,26.6522,12.8494,46.3223
20041019,75.4222,26.6003,12.7875,46.4424
20041020,75.2724,26.7024,12.7071,46.7609
20041021,75.7627,26.8583,12.89,46.7922
20041022,74.9114,26.6931,12.7978,46.9019
20041025,74.8229,26.6652,12.8325,46.9384
20041026,75.9671,26.8137,12.8789,46.7975
20041027,76.8797,27.0922,13.1002,46.338
20041028,77.1113,27.1664,13.0353,46.4894
20041029,77.0976,27.1664,13.0862,46.7034
20041101,77.3088,27.2128,13.1836,46.413
20041102,77.3361,27.4244,13.2138,46.4812
20041103,78.31,27.7493,13.4063,46.5021
20041104,79.3793,28.1372,13.6092,46.5493
20041105,79.8765,28.269,13.6608,46.0407
20041108,79.7607,28.0723,13.5066,45.8782
20041109,79.604,28.0017,13.5937,45.852
20041110,79.6653,27.9479,13.6092,45.679
20041111,80.2715,28.2523,13.7641,45.5793
20041112,80.9049,28.5865,13.9964,46.0722
20041115,81.1036,28.6143,14.0097,46.1141
20041116,80.523,28.373,13.8496,46.1141
20041117,81.0012,28.735,14.1624,46.5074
20041118,81.1105,28.67,14.1882,46.649
20041119,80.2088,28.4844,13.9854,46.2767
20041122,80.5913,28.5679,14.0399,46.5179
20041123,80.7143,28.6236,14.0643,46.5755
20041124,80.9056,28.7535,14.214,46.5755
20041126,80.8441,28.9206,14.4501,46.2715
20041129,80.4752,29.0134,14.3616,45.7786
20041130,80.5299,28.8185,14.3881,45.5846
20041201,81.4452,29.3197,14.498,45.5135
20041202,81.5135,29.2733,14.4766,45.3292
20041203,81.4589,29.4478,14.5423,46.0347
20041206,81.4316,29.2677,14.5216,46.1926
20041207,80.6733,29.1081,14.2989,46.2505
20041208,81.1446,29.0876,14.2236,46.9718
20041209,81.4316,28.967,13.992,46.6612
20041210,81.5135,28.683,13.978,46.777
20041213,82.2239,29.1155,14.1904,46.877
20041214,82.5108,29.1248,14.321,47.0613
20041215,82.5723,29.3011,14.5194,47.4878
20041216,82.5245,29.1155,14.4464,46.7876
20041217,81.9741,29.032,14.4132,46.7244
20041220,81.9946,29.2974,14.6013,46.8087
20041221,82.6261,29.5035,14.7414,46.9508
20041222,82.8251,29.548,14.7377,46.7928
20041223,82.8868,29.7419,14.838,46.6402
20041227,82.7153,29.9757,14.8268,46.2769
20041228,83.1682,30.1754,14.9037,46.24
20041229,83.2918,30.0303,14.9858,46.1926
20041230,83.1339,30.0341,14.9478,46.5033
20041231,82.9555,30.2037,15.071,46.7966
20050103,82.5643,29.987,14.9142,46.897
20050104,81.5554,29.4121,14.455,46.4055
20050105,80.9926,29.3933,14.278,46.6539
20050106,81.4044,29.3933,14.2683,46.6856
20050107,81.2878,29.2613,14.296,46.7913
20050110,81.6721,29.3933,14.3139,46.8653
20050111,81.1093,29.3367,14.287,47.1401
20050112,81.377,29.5723,14.4625,47.2035
20050113,80.725,29.3179,14.4027,47.658
20050114,81.1505,29.4592,14.6603,47.6527
20050118,81.9946,29.4818,14.6342,47.8113
20050119,81.1367,29.1765,14.4326,47.9487
20050120,80.6426,28.9824,14.2534,48.0438
20050121,80.1485,29.0973,14.4475,48.0966
20050124,79.9906,29.1482,14.4251,48.3027
20050125,80.2171,29.1577,14.5558,47.8483
20050126,80.4573,29.5101,14.7686,47.9381
20050127,80.5946,29.5535,14.7828,47.8483
20050128,80.5946,29.4875,14.7962,48.3291
